Name,P/B,Focus
Aarti Drugs Ltd. ,10.51,
Laurus Labs Ltd. ,10.7,
ABB India Ltd. ,10.71,
Syngene International Ltd. ,11.09,
Emami Ltd. ,11.14,
Bata India Ltd. ,11.19,
Interglobe Aviation Ltd. ,11.37,
Symphony Ltd. ,11.45,
Vaibhav Global Ltd. ,11.59,
ICICI Securities Ltd. ,12.01,
CRISIL Ltd. ,12.12,
Westlife Development Ltd. ,12.22,
Whirlpool of India. Ltd. ,12.34,
Fine Organics Industries Ltd. ,12.74,
SUMITOMO CHEMICAL INDIA LIMITE Ltd. ,13.17,
Larsen & Toubro Infotech Ltd. ,13.49,
PI Industries Ltd. ,13.57,
AU Small Finance Bank Ltd. ,13.64,
Tata Consultancy Services Ltd. ,13.82,
3M India Ltd. ,13.98,
Divis Laboratories Ltd. ,14.01,
Thyrocare Technologies Ltd. ,14.12,
Dabur India Ltd. ,14.37,
Havells India Ltd. ,14.63,
GlaxoSmithKline Pharmaceuticals Ltd. ,14.77,
Tanla Platforms Ltd. ,14.87,
GMM Pfaudler Ltd. ,16.52,
Crompton Greaves Consumer Electrical Ltd. ,17.1,
Indian Energy Exchange Ltd. ,17.28,
Avenue Supermarts Ltd. ,17.35,
Astral Poly Technik Ltd. ,17.5,
Marico Ltd. ,18.21,
Alkyl Amines Chemicals Ltd. ,18.44,
Dr Lal PathLabs Ltd. ,19.03,
Blue Dart Express Ltd. ,19.32,
Britannia Industries Ltd. ,19.55,
Pidilite Industries Ltd. ,19.83,
Titan Company Ltd. ,20.6,
Metropolis Healthcare Ltd. ,20.66,
Tata Metaliks Ltd. ,20.83,
HDFC Life Insurance Company Ltd. ,21.29,
Tata Elxsi Ltd. ,22.45,
Asian Paints Ltd. ,25.9,
Adani Gas Ltd. ,27.63,
Bombay Dyeing and Manufacturing Company Ltd. ,27.83,
Berger Paints India Ltd. ,29.52,
Info Edge India Ltd. ,32.19,
Dixon Technologies Ltd. ,33.24,
Jubilant Foodworks Ltd. ,33.93,
Hindustan Unilever Ltd. ,68.11,
GMR Infrastructure Ltd. ,76.81,
Indiamart Intermesh Ltd. ,79.24,
ITI Ltd. ,303.1,
Hawkins Cooker Ltd. ,--,
