Kalpataru Power Transmission Ltd. ,1.62
Kansai Nerolac Paints Ltd. ,8.32
Karnataka Bank Ltd. ,2.75
Kaveri Seed Company Ltd. ,3.27
KEC International Ltd. ,3.98
KEI Industries Ltd. ,3.04
KNR Constructions Ltd. ,3.93
Kotak Mahindra Bank Ltd. ,5.44
KPIT Technologies Ltd. ,3.45
KPR Mill Ltd. ,3.39
KRBL Ltd. ,1.43
KSB  Ltd. ,2.84
L&T Finance Holdings Ltd. ,1.39
Larsen & Toubro Infotech Ltd. ,13.17
L&T Technology Services Ltd. ,10.17
La Opala RG Ltd. ,0.00
Lakshmi Machine Works Ltd. ,3.98
Larsen & Toubro Ltd. ,2.89
Laurus Labs Ltd. ,11.15
Lemon Tree Hotels Ltd. ,2.26
LIC Housing Finance Ltd. ,1.30
Linde India Ltd. ,4.88
Lupin Ltd. ,3.91
Lux Industries Ltd. ,9.53
Mahindra and Mahindra Ltd. ,2.39
Maharashtra Scooters Ltd. ,0.00
Maharashtra Seamless Ltd. ,0.60
Mahanagar Gas Ltd. ,0.00
Mahindra CIE Automotive Ltd. ,1.82
Mahindra Holidays and Resorts India Ltd. ,0.00
Mahindra Lifespace Developers Ltd. ,1.46
Mahindra Logistics Ltd. ,6.56
Manappuram Finance Ltd. ,2.60
Marico Ltd. ,17.62
Maruti Suzuki India Ltd. ,4.73
MAS Financial Services Ltd. ,4.29
Max Financial Services Ltd. ,10.38
Multi Commodity Exchange of India Ltd. ,5.76
Meghmani Organics Ltd. ,1.44
Metropolis Healthcare Ltd. ,18.83
Minda Corporation Ltd. ,2.15
Minda Industries Ltd. ,6.67
Mindtree Ltd. ,8.86
Mishra Dhatu Nigam Ltd. ,3.63
MMTC Ltd. ,3.46
MOIL Ltd. ,1.21
Motherson Sumi Systems Ltd. ,5.02
Motilal Oswal Financial Services Ltd. ,2.84
MphasiS Ltd. ,5.41
MRF Ltd. ,3.13
Mangalore Refinery and Petrochemicals Ltd. ,0.86
Muthoot Finance Ltd. ,4.47
National Aluminium Company Ltd. ,0.94
Narayana Hrudayalaya Ltd. ,8.44
Natco Pharma Ltd. ,3.99
Nava Bharat Ventures Ltd. ,0.22
Navin Fluorine International Ltd. ,8.80
Navneet Education Ltd. ,2.25
NBCC (India) Ltd. ,3.61
NCC Ltd. ,0.98
NESCO Ltd. ,3.24
Nestle India Ltd. ,0.00
Network 18 Media & Investments Ltd. ,1.20
New India Assurance Company Ltd. ,1.67
NHPC Ltd. ,0.75
Nilkamal Ltd. ,2.63
