State Bank of India,1.47,14.90,27.94,0.5332856120257695
SBI Life Insurance Company Ltd.,0.00,--,83.59,--
Schaeffler India  Ltd.,0.00,--,44.12,--
Schneider Electric Infrastructure Ltd.,0.00,--,77.29,--
Sequent Scientific Ltd.,7.53,60.36,38.74,1.5580795043882292
Sheela Foam Ltd.,10.94,48.03,37.09,1.294958209760043
Shilpa Medicare Ltd.,2.29,17.41,38.74,0.44940629839958696
Shipping Corporation of India Ltd.,0.78,8.07,17.05,0.47331378299120236
Shoppers Stop Ltd.,7.34,--,148.03,--
Shree Cements Ltd.,7.46,48.80,38.30,1.2741514360313315
Shriram City Union Finance Ltd.,1.32,10.85,44.01,0.24653487843671892
Shriram Transport Finance Corporation Ltd.,1.70,16.95,44.01,0.38513974096796183
Siemens Ltd.,7.17,85.09,88.49,0.9615775793875015
SIS Ltd.,4.45,23.70,47.21,0.5020122855327261
SJVN Ltd.,0.88,7.29,18.29,0.3985784581738655
SKF India Ltd.,0.00,--,44.12,--
Sobha Ltd.,1.76,44.86,26.06,1.7214121258633923
Solar Industries India Ltd.,8.76,53.30,57.72,0.9234234234234234
Sonata Software Ltd.,7.78,23.39,32.43,0.7212457600986741
South Indian Bank Ltd.,0.00,--,39.89,--
SpiceJet Ltd.,0.00,--,18.08,--
SRF Ltd.,5.88,33.26,34.21,0.9722303420052615
Star Cement Ltd.,2.19,22.48,38.30,0.5869451697127938
Sterlite Technologies Ltd.,4.30,37.00,18.93,1.954569466455362
Strides Pharma Science Ltd.,2.95,413.11,38.74,10.6636551368095
Sudarshan Chemical Industries Ltd.,6.45,33.69,24.76,1.3606623586429725
SUMITOMO CHEMICAL INDIA LIMITE Ltd.,11.86,46.05,58.60,0.7858361774744027
Sun Pharmaceutical Industries Ltd.,3.04,58.28,38.74,1.504388229220444
Sun Pharma Advanced Research Company Ltd.,0.00,--,84.98,--
Sun TV Network Ltd.,3.37,15.04,31.36,0.47959183673469385
Sundram Fasteners Ltd.,7.62,55.94,52.98,1.0558701396753492
Sunteck Realty Ltd.,1.65,109.00,26.06,4.182655410590944
Suprajit Engineering Ltd.,4.89,47.34,29.22,1.6201232032854211
Supreme Industries Ltd.,11.13,38.99,40.19,0.9701418263249566
Suzlon Energy Ltd.,0.00,--,18.28,--
Swan Energy Ltd.,2.37,--,26.17,--
Symphony Ltd.,14.41,109.06,81.21,1.3429380618150475
Syngene International Ltd.,9.92,59.23,84.98,0.696987526476818
Tanla Platforms Ltd.,19.42,82.71,32.43,2.5504162812210915
Tasty Bite Eatables Ltd.,0.00,--,69.88,--
Tata Chemicals Ltd.,1.43,2.92,3.29,0.8875379939209727
Tata Coffee Ltd.,1.41,23.62,66.22,0.35668982180610087
Tata Communications Ltd.,0.00,54.86,176.42,0.31096247590976084
TATA Consumer Products Ltd.,3.83,78.46,66.22,1.184838417396557
Tata Elxsi Ltd.,29.89,83.04,32.43,2.5605920444033305
Tata Investment Corporation Ltd.,0.70,48.64,44.01,1.1052033628720745
Tata Metaliks Ltd.,24.73,18.76,11.65,1.6103004291845495
Tata Motors Ltd.,1.70,--,49.42,--
Tata Power Company Ltd.,1.66,29.76,18.29,1.6271186440677967
Tata Steel Ltd.,1.08,--,14.52,--
TCNS Clothing Co Ltd.,0.00,--,26.17,--
Tata Consultancy Services Ltd.,13.67,37.07,32.43,1.143077397471477
TeamLease Services Ltd.,10.46,205.28,47.21,4.348231306926499
Tech Mahindra Ltd.,4.42,23.67,32.43,0.7298797409805736
Thermax Ltd.,5.67,124.04,25.98,4.774441878367975
Thyrocare Technologies Ltd.,13.10,64.15,69.89,0.917870940048648
Time Technoplast Ltd.,0.72,14.95,11.34,1.318342151675485
Timken India Ltd.,0.00,--,44.12,--
Titan Company Ltd.,19.61,173.20,67.87,2.551937527626344
TATA MOTORS LTD - DVR Ltd.,0.73,3.01,49.42,0.06090651558073654
Torrent Pharmaceuticals Ltd.,8.48,32.92,38.74,0.8497676819824471
Torrent Power Ltd.,2.19,32.43,18.29,1.7731000546746858
Trent Ltd.,13.05,--,127.14,--
Trident Ltd.,2.41,26.98,16.99,1.5879929370217778
Triveni Turbine Ltd.,6.42,36.51,25.96,1.4063944530046224
TTK Prestige Ltd.,8.09,65.76,62.81,1.0469670434644165
TV Today Network Ltd.,1.86,13.17,31.36,0.41996173469387754
TV18 Broadcast Ltd.,1.30,16.16,31.36,0.5153061224489796
TVS Motor Company Ltd.,7.95,79.93,22.18,3.6036970243462583
TVS Srichakra Ltd.,1.87,22.01,26.20,0.8400763358778627
UCO Bank,0.00,--,27.94,--
Uflex Ltd.,0.63,4.30,11.34,0.37918871252204583
Ujjivan Financial Services  Ltd.,0.96,--,44.01,--
UltraTech Cement Ltd.,4.99,28.40,38.30,0.741514360313316
Union Bank of India,0.72,--,27.94,--
United Breweries Ltd.,9.18,561.19,44.35,12.653664036076664
UPL Ltd.,2.41,19.42,51.72,0.3754833720030936
V-Guard Industries Ltd.,9.71,58.65,77.29,0.7588303790917323
V-Mart Retail Ltd.,0.00,--,148.03,--
Vaibhav Global Ltd.,17.00,50.00,127.14,0.3932672644329086
Vakrangee Ltd.,2.12,76.23,32.43,2.3506012950971322
Vardhman Textiles Ltd.,1.12,21.97,16.99,1.2931135962330784
Varroc Engineering Ltd.,1.82,--,31.43,--
Varun Beverages Ltd.,7.97,86.85,126.64,0.6858022741629817
